TF	Target	EdgeWeight
IRF1	SHOX	0.012781382538378239
EEF1A1	ENO1	0.012417849153280258
SP100	SCD5	0.012300941161811352
SPIB	SHOX	0.012277016416192055
ZNF471	SCD5	0.011896011419594288
CRX	SHOX	0.011806784197688103
HAND1	HOXB6	0.011792026460170746
POU5F1	NANOG	0.011720343492925167
TFAP2A	ID1	0.011665352620184422
ID1	TFAP2A	0.011593660339713097
KHSRP	HMGA1	0.011480582877993584
IRF1	CRX	0.011475114151835442
ENO1	EEF1A1	0.011349392123520374
ZNF471	SHOX	0.01129646971821785
SPIB	CRX	0.011252447962760925
CTNNB1	SKIL	0.011202634312212467
SPIB	IRF1	0.011191833764314651
HOXB6	HAND1	0.011164745315909386
POU5F1	SFRP2	0.011158600449562073
ID1	LIN28A	0.011134914122521877
SKIL	SRSF6	0.011118589900434017
SP100	ZNF471	0.011068752966821194
ID1	DCLK1	0.010961196385324001
IRF1	SPIB	0.010942098684608936
PTMA	NPM1	0.010907848365604877
POU5F1	EPCAM	0.01090146042406559
TCF7L1	SFRP1	0.01089679915457964
CTNNB1	SOX4	0.010889772325754166
MSX1	EOMES	0.010823759250342846
SOX4	SFRP1	0.010813231579959393
MSX1	NTS	0.010784667916595936
NANOG	POU5F1	0.010716847144067287
GRHL2	ESRP1	0.010706916451454163
ID1	POU5F1	0.010705933906137943
ID1	EPCAM	0.010691964067518711
NPM1	PTMA	0.010669359005987644
PPARA	SHOX	0.010663382709026337
TLR7	SHOX	0.010663355700671673
GRHL2	NANOG	0.01056794635951519
TFAP2A	BAMBI	0.010566290467977524
HAND1	BMPER	0.01055612601339817
ZNF471	SP100	0.01054344978183508
POU5F1	ID1	0.010526707395911217
NANOG	ESRP1	0.010504773817956448
LIN28A	ID1	0.010499612428247929
IRF1	TLR7	0.01045595295727253
GATA3	BAMBI	0.010386099107563496
SKIL	SOX4	0.01038360595703125
MSX1	PCDH10	0.010383117012679577
CRX	IRF1	0.010373754426836967
FOXF1	HAND1	0.010344723239541054
MSX1	WLS	0.010343769565224648
TBX3	HAND1	0.010341649875044823
SOX4	SKIL	0.010339977219700813
KHSRP	ARID3A	0.010336894541978836
HAND1	CDH11	0.010333826765418053
HAND1	TBX3	0.010331393219530582
SPIB	ZNF471	0.010298618115484715
POU5F1	DCLK1	0.010294000618159771
ID1	ANXA3	0.010274193249642849
SPIB	RAX2	0.010255225002765656
HAND1	SEMA6D	0.010242648422718048
TBX3	APLNR	0.010240951552987099
MSX1	TBX3	0.010238459333777428
TLR7	CRX	0.010234011337161064
GRHL2	PTPRZ1	0.010231662541627884
LMX1B	SHOX	0.010229158215224743
IRF1	ZNF471	0.010225702077150345
SOX2	LRAT	0.010218898765742779
NANOG	PTPRZ1	0.010206460952758789
EOMES	FST	0.010205069556832314
SNAI2	HAND1	0.010186536237597466
POU5F1	PTPRZ1	0.010184275917708874
POU5F1	SEMA6A	0.010179413482546806
SPIB	DMBX1	0.010166596621274948
SRSF6	SKIL	0.010163325816392899
YBX1	LIN28A	0.01014011912047863
MSX1	CA2	0.010136441327631474
HAND2	CCDC80	0.010133633390069008
SP100	SHOX	0.010125615634024143
ZNF471	CRX	0.010118990205228329
KHSRP	HCFC1	0.010103167034685612
CRX	SPIB	0.010081959888339043
MSX1	CYP1B1	0.010081131011247635
SKIL	ERCC-00060	0.010079562664031982
TLR7	IRF1	0.010078934021294117
SKIL	ERCC-00009	0.010071286000311375
XRCC6	ILF2	0.01005038432776928
SOX17	PRDM1	0.010034590028226376
SKIL	PIP4K2A	0.010030090808868408
LMX1B	SPIB	0.010026414878666401
HMGA1	KHSRP	0.010026301257312298
MLLT6	SHOX	0.010020412504673004
STAT2	SHOX	0.01001097820699215
YBX1	HNRNPD	0.01000791136175394
HAND1	FOXF1	0.009994878433644772
EOMES	PCDH10	0.00998496264219284
HAND1	SNAI2	0.00998219195753336
ASB4	SCD5	0.009965287521481514
PDGFA	SOX4	0.009958213195204735
YBX1	BAMBI	0.009927802719175816
PRDM1	SOX17	0.009902316145598888
MAFF	SHOX	0.009900965727865696
EOMES	CA2	0.009900047443807125
